Name,Image URL,Price,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless,Specs Number
Thermalright Peerless Assassin 120 SE,https://m.media-amazon.com/images/I/41hFTmi5aUL.jpg,$33.90 ,Thermalright,Peerless Assassin 120 SE,"PA120 SE-D3, PA120 SE, PA120 SE D6-CAD, PA120 SE 1700, PA120 SE 1700-d6",1550 RPM,25.6 dB,Black,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
NZXT Kraken Elite 360 RGB,//cdna.pcpartpicker.com/static/forever/images/product/49ed312d967c71e5bf866285deee9f9c.256p.jpg,$271.99 ,NZXT,Kraken Elite 360 RGB,RL-KR36E-W1,500 - 1800 RPM,17.9 - 30.6 dB,White,60 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,10
Cooler Master MASTERLIQUID ML240L RGB V2,//cdna.pcpartpicker.com/static/forever/images/product/5b6a5e7f4cf456ccf6415235cf7adc99.256p.jpg,$104.99 ,Cooler Master,MASTERLIQUID ML240L RGB V2,MLW-D24M-A18PC-R2,650 - 1800 RPM,6 - 27 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Deepcool GAMMAXX AG400 ARGB,//cdna.pcpartpicker.com/static/forever/images/product/9464a59a8e91c8203397a01ab96d0ec7.256p.jpg,$28.98 ,Deepcool,N/A,"R-AG400-BKANMC-G-2, AG400 BK ARGB-AMAZON, AG400 BK ARGB",500 - 2000 RPM,31.6 dB,Black,150 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Corsair iCUE H150i ELITE CAPELLIX XT,//cdna.pcpartpicker.com/static/forever/images/product/12bfecb3325a384ef35e38ada6b8bca3.256p.jpg,$189.99 ,Corsair,iCUE H150i ELITE CAPELLIX XT,CW-9060070-WW,550 - 2100 RPM,5 - 34.1 dB,Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
Noctua NH-D15 chromax.black,https://m.media-amazon.com/images/I/51kgqhkUNuL.jpg,$119.95 ,Noctua,NH-D15 chromax.black,"NH-D15 CHROMAX.BLACK, NH-D15 CH.BK, NH-D15-CH-BK",300 - 1500 RPM,19.2 - 24.6 dB,Black,165 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
NZXT Kraken 240,//cdna.pcpartpicker.com/static/forever/images/product/157afeba59d05304fe181106745e6177.256p.jpg,$120.99 ,NZXT,Kraken 240,RL-KN240-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 240 mm,No,10
Thermalright Phantom Spirit 120 SE,https://m.media-amazon.com/images/I/51kJe8EOqjL.jpg,$35.90 ,Thermalright,Phantom Spirit 120 SE,"PS120SE, PS120 SE D6-CAD, PHANTOM-SPIRIT-120-SE",1500 RPM,25.6 dB,Black / Silver,154 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
Deepcool AK620 ZERO DARK,//cdna.pcpartpicker.com/static/forever/images/product/048ee8d7e1ab67674cc0aac0e4e0e281.256p.jpg,$61.98 ,Deepcool,AK620 ZERO DARK,"R-AK620-BKNNMT-G-1, AK620 ZERO DARK",500 - 1850 RPM,28 dB,Black,160 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
Deepcool LS720 SE WH,https://m.media-amazon.com/images/I/31cc4omxokL.jpg,$99.99 ,Deepcool,N/A,"LS720 SE WH, R-LS720-WHAMMM-G-1",500 - 2250 RPM,28.2 - 32.9 dB,White,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,8
ARCTIC Liquid Freezer III,https://m.media-amazon.com/images/I/31C4DlmScnL.jpg,$116.99 ,ARCTIC,N/A,ACFRE00136A,200 - 1800 RPM,N/A,Black,N/A,"AM4, AM5, LGA1700",Yes - 360 mm,No,7
NZXT Kraken Elite 360 RGB,//cdna.pcpartpicker.com/static/forever/images/product/00f3005287758516d8b319cefd625a13.256p.jpg,$276.37 ,NZXT,Kraken Elite 360 RGB,RL-KR36E-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,60 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,10
Cooler Master Hyper 212 Black Edition,//cdna.pcpartpicker.com/static/forever/images/product/716d4c601ae190184020710e098e7b36.256p.jpg,$29.99 ,Cooler Master,Hyper 212 Black Edition,RR-212S-20PK-R1,650 - 2000 RPM,6.5 - 26 dB,Black,159 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
Thermalright Assassin X 120 Refined SE,https://m.media-amazon.com/images/I/41aJwdGRuAL.jpg,$17.89 ,Thermalright,Assassin X 120 Refined SE,"AX120 SE-D3, AX120 Refined SE",1550 RPM,25.6 dB,Black / Silver,148 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
Deepcool LS720 SE,https://m.media-amazon.com/images/I/41lhOsw+ACL.jpg,$89.99 ,Deepcool,N/A,"LS720 SE, R-LS720-BKAMMM-G-1",500 - 2250 RPM,28.2 - 32.9 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,8
Thermalright Peerless Assassin 120 SE WHITE ARGB,//cdna.pcpartpicker.com/static/forever/images/product/c09b33bf4c2452bbc71fac7691860f4a.256p.jpg,$36.99 ,Thermalright,Peerless Assassin 120 SE WHITE ARGB,"PA120 SE White ARGB, PA120 SE White ARGB-D3, PA120 SE ARGB White-D1, PA120 SE WHITE ARGB D6-CAD",1550 RPM,25.6 dB,White,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
NZXT Kraken 360,//cdna.pcpartpicker.com/static/forever/images/product/e71bea262e634ec0decd5847c6e4d0a1.256p.jpg,,NZXT,Kraken 360,RL-KN360-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,10
Noctua NH-D15,//cdna.pcpartpicker.com/static/forever/images/product/ca16d42d3e187f96c728c09183df14a7.med.256p.jpg,$109.95 ,Noctua,N/A,NH-D15,300 - 1500 RPM,19.2 - 24.6 dB,N/A,165 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,8
Thermalright Phantom Spirit 120 SE ARGB,https://m.media-amazon.com/images/I/51KizlEeQZL.jpg,$35.90 ,Thermalright,Phantom Spirit 120 SE ARGB,"PS120SE ARGB, PS120 SE ARGB D6-CAD, Phantom Spirit 120 SE ARGB",1500 RPM,25.6 dB,Black / Silver,154 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
Corsair iCUE H100i RGB ELITE,//cdna.pcpartpicker.com/static/forever/images/product/076dcbc1ba5e06eafb25c91e17dbef75.256p.jpg,$119.99 ,Corsair,iCUE H100i RGB ELITE,CW-9060058-WW,400 - 1850 RPM,5 - 28.9 dB,Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Corsair iCUE H100x RGB ELITE,//cdna.pcpartpicker.com/static/forever/images/product/910431067172593d99eb5c6c6f6ca70e.256p.jpg,$99.99 ,Corsair,iCUE H100x RGB ELITE,"CW-9060065-WW, CW-9060065-WW2",1500 RPM,7 - 28 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Deepcool AK400,//cdna.pcpartpicker.com/static/forever/images/product/f11e54d5a812379d28e34bc51143332b.256p.jpg,$33.98 ,Deepcool,AK400,R-AK400-BKNNMN-G-1,500 - 1850 RPM,29 dB,Black / Silver,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
NZXT Kraken 240 RGB,//cdna.pcpartpicker.com/static/forever/images/product/ebd0dcafaf707dc2d772c44585ea8e10.256p.jpg,$172.99 ,NZXT,Kraken 240 RGB,RL-KR240-W1,500 - 1800 RPM,17.9 - 30.6 dB,White,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 240 mm,No,10
Corsair iCUE H150i ELITE LCD XT,//cdna.pcpartpicker.com/static/forever/images/product/3ec80850afc7392a6dad4b82ef95c424.256p.jpg,$249.99 ,Corsair,iCUE H150i ELITE LCD XT,CW-9060075-WW,550 - 2100 RPM,5 - 34.1 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
ID-COOLING SE-214-XT,https://m.media-amazon.com/images/I/5130uHBNUnL.jpg,$17.98 ,ID-COOLING,N/A,SE-214-XT ARGB,500 - 1500 RPM,13.8 - 30.5 dB,Black,150 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Noctua NH-U12S chromax.black,//cdna.pcpartpicker.com/static/forever/images/product/03d2c7690b9a62e9131a8514ea3c0dfa.256p.jpg,$89.95 ,Noctua,N/A,"NH-U12S chromax.black, NH-U12S CH.BK, NH-U12S-CH-BK",300 - 1500 RPM,18.6 - 22.4 dB,Black,158 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
ARCTIC Liquid Freezer III,//cdna.pcpartpicker.com/static/forever/images/product/2fc6853c4556dfb16bb10580c1a9cbb1.256p.jpg,$99.99 ,ARCTIC,N/A,ACFRE00134A,200 - 1800 RPM,N/A,Black,N/A,"AM4, AM5, LGA1700",Yes - 240 mm,No,7
AMD Wraith Prism,//cdna.pcpartpicker.com/static/forever/images/product/00979205bfe0f63cf50f396392775b9f.256p.jpg,$56.00 ,AMD,N/A,199-999888,2800 RPM,42 dB,N/A,93 mm,AM4,No,No,8
Deepcool LT720,https://m.media-amazon.com/images/I/31vR+qTk+ML.jpg,$109.99 ,Deepcool,LT720,"R-LT720-BKAMNF-G-1, LT720-AMAZON, LT720",500 - 2250 RPM,32.9 dB,Black / Gray,68 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,10
be quiet! Pure Rock 2 Black,//cdna.pcpartpicker.com/static/forever/images/product/9267f7394684175fbe4178facf75dbbf.256p.jpg,$37.90 ,be quiet!,Pure Rock 2 Black,BK007,1500 RPM,19.1 - 26.8 dB,Black,155 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
NZXT Kraken 360 RGB,//cdna.pcpartpicker.com/static/forever/images/product/19da19fbf153d36efcda6b886afa78c0.256p.jpg,$219.99 ,NZXT,Kraken 360 RGB,RL-KR360-W1,500 - 1800 RPM,17.9 - 30.6 dB,White,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,10
ARCTIC Liquid Freezer III A-RGB,https://m.media-amazon.com/images/I/41R8Lq0z41L.jpg,$139.99 ,ARCTIC,N/A,ACFRE00144A,200 - 2000 RPM,N/A,Black,N/A,"AM4, AM5, LGA1700",Yes - 360 mm,No,7
Thermalright Frozen Notte ARGB,//cdna.pcpartpicker.com/static/forever/images/product/9fb45288b3734e8e9a2e0fec9147e5ee.256p.jpg,$50.90 ,Thermalright,N/A,Frozen Notte 240 BLACK ARGB,2000 RPM,27.7 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
Corsair H105,https://m.media-amazon.com/images/I/51IeiVtDXeL.jpg,$869.03 ,Corsair,H105,CW-9060016-WW,800 - 2700 RPM,37.7 dB,N/A,N/A,"AM2, AM2+, AM3, AM3+, AM4, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
NZXT Kraken Elite 360,//cdna.pcpartpicker.com/static/forever/images/product/b5af5d6ebb1594a90a21922fbdae33ed.256p.jpg,$266.99 ,NZXT,Kraken Elite 360,RL-KN36E-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,60 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,10
Thermalright Frozen Notte ARGB,https://m.media-amazon.com/images/I/41+ra26X+fL.jpg,$66.90 ,Thermalright,N/A,Frozen Notte 360 WHITE ARGB-D1,2000 RPM,27.7 dB,White,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,8
Noctua NH-U12A chromax.black,//cdna.pcpartpicker.com/static/forever/images/product/3a24ca834f2b252f719640f8b8448b6c.256p.jpg,$129.94 ,Noctua,N/A,"NH-U12A chromax.black, NH-U12A ch.bk",450 - 2000 RPM,18.8 - 22.6 dB,Black,158 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
Deepcool AK620 DIGITAL,//cdna.pcpartpicker.com/static/forever/images/product/e0f646f05ca57372374cf39b3b34a1c3.256p.jpg,$75.98 ,Deepcool,N/A,"R-AK620-BKADMN-G, AK620 Digital",500 - 1850 RPM,28 dB,Black,162 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
Lian Li Galahad II Trinity SL-INF,//cdna.pcpartpicker.com/static/forever/images/product/9a5bcf4f476d82ad6aff9287d2cb0b3a.256p.jpg,$179.04 ,Lian Li,N/A,"GA2T36INB, G89.GA2T36INB.00",2100 RPM,29 dB,Black,69 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,9
Lian Li Galahad II Trinity SL-INF,//cdna.pcpartpicker.com/static/forever/images/product/9c7907d33c5225ac4fa747fcc1157ec4.256p.jpg,$164.99 ,Lian Li,N/A,"GA2T36INW, G89.GA2T36INW.00",2100 RPM,29 dB,White,69 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,9
Cooler Master MasterLiquid 360L Core ARGB,//cdna.pcpartpicker.com/static/forever/images/product/17af431eeae6b8cc280717a7f3bf3da3.256p.jpg,$84.99 ,Cooler Master,MasterLiquid 360L Core ARGB,MLW-D36M-A18PZ-R1,350 - 1750 RPM,27.2 dB,Black,47 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,10
Cooler Master Hyper 212 Black Edition,//cdna.pcpartpicker.com/static/forever/images/product/b45763abe7a0517129d3c0e026d0370d.256p.jpg,,Cooler Master,Hyper 212 Black Edition,RR-212S-20PK-R2,800 - 2000 RPM,6.5 - 26 dB,N/A,159 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
be quiet! Dark Rock Pro 5,//cdna.pcpartpicker.com/static/forever/images/product/a0191a4cb06d0077eab9a260cc759c8b.256p.jpg,$79.90 ,be quiet!,N/A,BK036,1300 - 2000 RPM,8.9 - 23.3 dB,Black,168 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Thermalright Phantom Spirit EVO,https://m.media-amazon.com/images/I/41vBFxRWimL.jpg,,Thermalright,N/A,"Phantom Spirit 120 EVO, PS120 EVO",2150 RPM,27 dB,Black,157 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
Intel E97379-001,//cdna.pcpartpicker.com/static/forever/images/product/dbeab7d9b737c8904b1b75679b3db3a6.256p.jpg,$9.09 ,Intel,N/A,E97379-001,1200 - 2800 RPM,22 dB,Silver / Black,51 mm,"LGA1150, LGA1151, LGA1155, LGA1156, LGA1200",No,No,9
be quiet! Dark Rock Pro 4,//cdna.pcpartpicker.com/static/forever/images/product/8ab57dc3c0eb346c72ef7a2405e31227.256p.jpg,,be quiet!,Dark Rock Pro 4,BK022,1500 RPM,12.8 - 24.3 dB,Black,163 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
Deepcool LS520 SE,https://m.media-amazon.com/images/I/319SxQ+ofoL.jpg,$79.98 ,Deepcool,N/A,"LS520 SE, R-LS520-BKAMMM-G-1",500 - 2250 RPM,28.2 - 32.9 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 240 mm,No,8
Thermalright Assassin X Refined SE ARGB,https://m.media-amazon.com/images/I/41MIJqAl3LL.jpg,$18.89 ,Thermalright,N/A,AX120 Refined SE ARGB,1550 RPM,25.6 dB,Black / Silver,148 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Deepcool AK400 DIGITAL,//cdna.pcpartpicker.com/static/forever/images/product/cdd47d524615ffee254da2f4010c0562.256p.jpg,$47.98 ,Deepcool,N/A,"R-AK400-BKADMN-G, AK400 Digital",500 - 1850 RPM,28 dB,Black,156 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Deepcool AK400,https://m.media-amazon.com/images/I/41BA0BSK5CL.jpg,$35.98 ,Deepcool,N/A,"AK400 WH, R-AK400-WHNNMN-G-1",500 - 1850 RPM,29 dB,White,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Thermalright Frozen Notte ARGB,https://m.media-amazon.com/images/I/31Lml9w71nL.jpg,$64.90 ,Thermalright,N/A,"Frozen Notte 360 BLACK ARGB-D1, Frozen Notte 360 BLACK ARGB D6, Frozen Notte 360 BLACK ARGB",2000 RPM,27.7 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,8
Noctua NH-L9A-AM5 CHROMAX.BLACK,//cdna.pcpartpicker.com/static/forever/images/product/7da2ce71b33904d0f379f9398d4515d7.256p.jpg,$54.95 ,Noctua,N/A,NH-L9A-AM5 CHROMAX.BLACK,600 - 2500 RPM,14.8 - 23.6 dB,Black,37 mm,AM5,No,No,9
Asus ROG Ryujin III ARGB,//cdna.pcpartpicker.com/static/forever/images/product/398ac27e1b3409e2be6617fb96bf6a30.256p.jpg,$339.99 ,Asus,N/A,"90RC00L1-M0UAY0, ROG RYUJIN III 360 ARGB, 90RC00L1-M0AAY0",600 - 2200 RPM,36.45 dB,Black,101 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,9
NZXT Kraken 360 RGB,//cdna.pcpartpicker.com/static/forever/images/product/da52d72313deb270a5397a87703991d0.256p.jpg,$219.99 ,NZXT,Kraken 360 RGB,RL-KR360-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,10
ARCTIC Liquid Freezer III A-RGB,https://m.media-amazon.com/images/I/31mb7SO1EZL.jpg,$142.99 ,ARCTIC,N/A,ACFRE00152A,200 - 2000 RPM,N/A,White,N/A,"AM4, AM5, LGA1700",Yes - 360 mm,No,7
NZXT Kraken 240 RGB,//cdna.pcpartpicker.com/static/forever/images/product/038ec9aa1fddbeb6cd45c91348943127.256p.jpg,$160.99 ,NZXT,Kraken 240 RGB,RL-KR240-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 240 mm,No,10
Corsair iCUE H150i ELITE CAPELLIX XT,//cdna.pcpartpicker.com/static/forever/images/product/b2b9eee9f88a4a8db5a4ddb6cef86927.256p.jpg,$199.99 ,Corsair,iCUE H150i ELITE CAPELLIX XT,CW-9060073-WW,550 - 2100 RPM,N/A,White,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,8
Thermalright Assassin King SE ARGB,https://m.media-amazon.com/images/I/41oLozsjh1L.jpg,$20.09 ,Thermalright,N/A,"AK120 SE WHITE ARGB-D6-2, TL-AK120 SE White",1550 RPM,25.6 dB,White,148 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Thermalright Peerless Assassin 120 SE ARGB,//cdna.pcpartpicker.com/static/forever/images/product/1e057960fccae4328fbdc13bb45bf42c.256p.jpg,,Thermalright,Peerless Assassin 120 SE ARGB,"PA 120 SE ARGB, PA120 SE ARGB 1700, PA120 SE ARGB D6-CAD, 419041",1550 RPM,25.6 dB,Black,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
Deepcool AK620,//cdna.pcpartpicker.com/static/forever/images/product/e44f6e1cec0c46a71a7ece181322671f.256p.jpg,$54.99 ,Deepcool,N/A,"AK620 WH, R-AK620-WHNNMT-G-1",500 - 1850 RPM,28 dB,White,160 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
Noctua NH-L9i-17xx chromax.black,https://m.media-amazon.com/images/I/41C6DIgbv3L.jpg,$54.95 ,Noctua,N/A,"NH-L9i-17xx chromax.black, NH-L9i-17xx ch.bk",600 - 2500 RPM,14.8 - 23.6 dB,Black,37 mm,LGA1700,No,No,9
Thermalright Frozen Notte ARGB,https://m.media-amazon.com/images/I/41wSywn6EZL.jpg,$50.90 ,Thermalright,N/A,Frozen Notte 240 WHITE ARGB,2000 RPM,27.7 dB,White,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
Lian Li Galahad II LCD SL-INF,//cdna.pcpartpicker.com/static/forever/images/product/7e5f1ff46cd314f69c520bbbc8470f10.256p.jpg,$249.99 ,Lian Li,N/A,GA2ALCD36INB,N/A,29 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,7
Deepcool AK400 ZERO DARK,//cdna.pcpartpicker.com/static/forever/images/product/0969db68c5d36df3d025d4b88993d681.256p.jpg,$39.98 ,Deepcool,AK400 ZERO DARK,"R-AK400-BKNNMN-G-2, AK400 ZERO DARK",500 - 1850 RPM,29 dB,Black,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
Noctua NH-L9a-AM4,//cdna.pcpartpicker.com/static/forever/images/product/c83b5fd9fdf5b659ec8feba8e1c60568.256p.jpg,$44.95 ,Noctua,N/A,NH-L9a-AM4,600 - 2500 RPM,14.8 - 23.6 dB,Brown,37 mm,"AM4, AM5",No,No,9
Lian Li Galahad II LCD SL-INF,//cdna.pcpartpicker.com/static/forever/images/product/e5e96aa397fa331b3b7853db14d451d3.256p.jpg,$301.49 ,Lian Li,N/A,GA2ALCD36INW,N/A,29 dB,White,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,7
Cooler Master Hyper 212 RGB Black Edition,//cdna.pcpartpicker.com/static/forever/images/product/b40d38a6383f462adfcec85b193216b1.256p.jpg,$56.99 ,Cooler Master,Hyper 212 RGB Black Edition,RR-212S-20PC-R2,650 - 2000 RPM,8 - 30 dB,N/A,159 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
Deepcool AK620,//cdna.pcpartpicker.com/static/forever/images/product/05c27ddf4caf6b0d585bc03e41b8e7ee.256p.jpg,$54.99 ,Deepcool,AK620,R-AK620-BKNNMT-G,500 - 1850 RPM,28 dB,Black / Silver,160 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
be quiet! Dark Rock 4,//cdna.pcpartpicker.com/static/forever/images/product/aba40716670bdd4a88508ee83621b33a.256p.jpg,$109.67 ,be quiet!,Dark Rock 4,BK021,1400 RPM,N/A,Black,159 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,9
